OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
Underdogs Spring Split 2017/Playoffs,2017-05-15,2017-05-18,Europe,France,Online,Underdogs,1,1
Underdogs Summer Split 2017,2017-08-29,2017-09-21,Europe,France,Online,Underdogs,1,1
Underdogs Summer Split 2017/Playoffs,2017-11-14,2017-11-22,Europe,France,Online,Underdogs,1,1
Underdogs Summer Split 2017/Qualifier,2017-08-22,2017-08-22,Europe,France,Online,Underdogs,1,1
Unified Grand Prix/2021 Season/Spring,2021-02-22,2021-03-03,North America,,,Unified Grand Prix,1,1
Unified Premier League/2022 Season/Fall Playoffs,2022-10-14,2022-11-15,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Fall Season,2022-09-26,2022-10-11,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Spring Playoffs,2022-04-01,2022-04-22,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Spring Season,2022-02-11,2022-03-30,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Summer Playoffs,2022-07-15,2022-08-12,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Summer Season,2022-06-10,2022-07-14,North America,United States,Online,Unified Premier League,1,1
Uniliga/2020 Season/Summer Playoffs,2020-07-21,2020-09-30,Europe,Germany,Online/Offline,UEG League,1,1
Uniliga/2020 Season/Summer Promotion,2020-01-12,2020-02-02,Europe,Germany,Online,UEG League,1,1
Uniliga/2020 Season/Summer Promotion/Wildcard Tournament,2020-04-18,2020-04-18,Europe,Germany,Online,UEG League,1,1
Uniliga/2020 Season/Summer Season,2020-05-12,2020-07-14,Europe,Germany,Online,UEG League,1,1
Uniliga/2020 Season/Winter Playoffs,2021-01-04,2021-01-31,Europe,Germany,Online/Offline,UEG League,1,1
Uniliga/2020 Season/Winter Season,2020-10-20,2020-12-15,Europe,Germany,Online,UEG League,1,1
Uniliga/2022 Season/Summer Season,,,Europe,,,Uniliga,,
Uniliga/2024 Season/Summer Playoffs,2024-07-01,2024-09-14,EMEA,Germany,Online/Offline,UEG League,1,1
Uniliga/2024 Season/Summer Season,2024-04-30,2024-06-30,EMEA,Germany,Online,UEG League,1,1
Unitymedia Tryouts Cup 1,2019-12-14,2019-12-14,Europe,Germany,Online,UEG League,1,1
University Esports - EDU/Season 2022-2023/Group Stage,2022-11-14,2023-01-20,EMEA,Poland,,University Esports - EDU,1,1
University Esports - EDU/Season 2022-2023/UEM Qualifier,2023-01-24,2023-01-27,EMEA,Poland,,University Esports - EDU,1,1
University Esports Gran Final 2019,2019-04-25,2019-05-11,Europe,Spain,,University Esports,1,1
University Esports Masters 2016,2016-07-18,2016-07-23,Europe,,,University Esports Masters,1,1
University Esports Masters 2017/Final Stage,2017-07-29,2017-07-30,Europe,Portugal,,University Esports Masters,1,1
University Esports Masters 2017/International Qualifiers,2017-06-03,2017-06-04,Europe,Portugal,,University Esports Masters,1,1
University Esports Masters 2018,2018-07-16,2018-07-19,Europe,Spain,,University Esports Masters,1,1
University Esports Masters 2019,2019-06-21,2019-06-22,Europe,Spain,,University Esports Masters,1,1
University Esports Masters 2020,2020-07-11,2020-08-08,Europe,Europe,Online,University Esports Masters,1,1
University Esports Masters 2021/European League,2021-04-17,2021-05-02,Europe,Europe,Online,University Esports Masters,1,1
University Esports Masters 2021/Last Chance Qualifier,2021-06-26,2021-06-27,Europe,Europe,Online,University Esports Masters,1,1
University Esports Masters 2021/Playoffs,2021-07-03,2021-07-18,Europe,Europe,Online,University Esports Masters,1,1
University Esports Masters 2022/European League,2022-03-19,2022-04-03,Europe,Europe,Online,University Esports Masters,1,1
University Esports Masters 2022/Last Chance Qualifier,2022-05-14,2022-05-15,Europe,Europe,Online,University Esports Masters,1,1
University Esports Masters 2022/Playoffs,2022-05-21,2022-06-26,Europe,Europe,Online,University Esports Masters,1,1
University Esports Masters 2023/Last Chance Qualifier,2023-05-13,2023-05-13,EMEA,Europe,Online,University Esports Masters,1,1
University Esports Masters 2023/MENA Finals,2023-07-13,2023-07-14,EMEA,Europe,Offline,University Esports Masters,1,1
University Esports Masters 2023/Playoffs,2023-05-28,2023-07-08,EMEA,Europe,Online/Offline,University Esports Masters,1,1
University Esports Masters 2023/Qualification Bracket,2023-03-18,2023-03-19,EMEA,Europe,Online,University Esports Masters,1,1
University Esports Masters 2024/Playoffs,2024-05-18,2024-07-13,EMEA,Europe,Online/Offline,University Esports Masters,1,1
University Esports Masters 2024/Swiss Phase,2024-04-20,2024-04-21,EMEA,Europe,Online,University Esports Masters,1,1
University Esports Series 2017/All Star,2017-04-08,2017-04-29,Europe,Italy,Online + Offline,,1,1
University Esports Series 2018/Playoffs,2018-06-19,2018-07-06,Europe,Italy,Online + Offline,,1,1
University Master Cup 2019,2019-05-19,2019-05-26,Europe,Ukraine,Online/Offline,University Master Cup,1,1
UNIZA Masters 2020,2020-12-06,2020-12-06,Europe,Slovakia,Online,UNIZA Masters,1,1
Upsurge Open Qualifier/2019 Season,2019-08-03,2019-08-04,North America,,Online,Scouting Grounds Circuit,1,1
Upsurge Premier League/2018 Season/Fall Playoffs,2018-10-30,2018-11-20,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2018 Season/Fall Season,2018-09-24,2018-10-27,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2018 Season/Spring Playoffs,2018-05-07,2018-05-22,North America,United States,Online,Upsurge Premier League,1,1
